source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,155,4,Agricultural land will be used for road construction. Total 475 ha land will be converted to road use out of which approx. 389 ha is agriculture land.,HTML table 2; row 155; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,156,1,2.2,HTML table 2; row 156; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,156,2,Water (expected source & competing users) unit: KLD,HTML table 2; row 156; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,156,3,Yes,HTML table 2; row 156; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,156,4,19434KL Water will be extracted from suitable surface sources (river/canals) or ground water after obtaining necessary permissions from the competent authority.,HTML table 2; row 156; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,157,1,2.3,HTML table 2; row 157; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,157,2,Minerals (MT),HTML table 2; row 157; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,157,3,Yes,HTML table 2; row 157; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,157,4,Minor minerals use in construction:- Coarse Agg. (cum)- 7031 Fine Agg. (cum)- 112133,HTML table 2; row 157; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,158,1,2.4,HTML table 2; row 158; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,158,2,"Construction material â stone, aggregates, sand / soil (expected source â MT)",HTML table 2; row 158; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,158,3,Yes,HTML table 2; row 158; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,158,4,"Cement (MT) - 1329 Coarse Agg. (cum) 141492 Fine Agg. (cum) - 52055 Steel (MT) - 18938 Bitumen (MT) - 30679 Bitumen Emulsion (MT) - 1853 Steel and Cement would be sourced from Authorized Vendor. Soil, Sand and Aggregate will be procured from operational licensed borrow areas and quarries located around nearby areas. Fly Ash from nearest Thermal Power Stations.",HTML table 2; row 158; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,159,1,2.5,HTML table 2; row 159; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,159,2,Forests and timber (source â MT),HTML table 2; row 159; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,159,3,No,HTML table 2; row 159; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,159,4,Use of LPG/Suitable clean cooking fuel would be provided to the construction workers.,HTML table 2; row 159; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,160,1,2.6,HTML table 2; row 160; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,160,2,"Energy including electricity and fuels (source, competing users) Unit: fuel (MT),energy (MW)",HTML table 2; row 160; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,160,3,Yes,HTML table 2; row 160; column 3,review_required
